"customer_id","product_id","description","times_purchased","product_rank"
12392,"22138","BAKING SET 9 PIECE RETROSPOT ","1","1"
12393,"20727","LUNCH BAG  BLACK SKULL.","3","1"
12395,"POST","POSTAGE","4","1"
12396,"20972","PINK CREAM FELT CRAFT TRINKET BOX ","1","1"
12399,"POST","POSTAGE","3","1"
12400,"21715","GIRLS VINTAGE TIN SEASIDE BUCKET","1","1"
12402,"POST","POSTAGE","5","1"
12403,"84997A","GREEN 3 PIECE MINI DOTS CUTLERY SET","1","1"
12404,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12406,"22064","PINK DOUGHNUT TRINKET POT ","3","1"
12408,"22630","DOLLY GIRL LUNCH BOX","3","1"
12409,"21426","WOODLAND STORAGE BOX SMALL","3","1"
12410,"21354","TOAST ITS - BEST MUM","1","1"
12411,"20695","FLORAL BLUE MONSTER","1","1"
12412,"21563","RED HEART SHAPE LOVE BUCKET ","4","1"
12413,"20749","ASSORTED COLOUR MINI CASES","1","1"
12414,"M","Manual","3","1"
12415,"M","Manual","3","1"
12416,"21165","BEWARE OF THE CAT METAL SIGN ","1","1"
12417,"POST","POSTAGE","10","1"
12418,"48138","DOOR MAT UNION FLAG","3","1"
12419,"20914","SET/5 RED SPOTTY LID GLASS BOWLS","2","1"
12421,"21232","STRAWBERRY CERAMIC TRINKET BOX","3","1"
12422,"POST","POSTAGE","9","1"
12423,"22617","BAKING SET SPACEBOY DESIGN","2","1"
12424,"22435","SET OF 9 HEART SHAPED BALLOONS","2","1"
12425,"37495","FAIRY CAKE BIRTHDAY CANDLE SET","2","1"
12426,"21527","RETRO SPOT TRADITIONAL TEAPOT ","2","1"
12427,"21249","WOODLAND  HEIGHT CHART STICKERS ","1","1"
12429,"82582","AREA PATROLLED METAL SIGN","2","1"
12431,"48138","DOOR MAT UNION FLAG","8","1"
12433,"21870","I CAN ONLY PLEASE ONE PERSON MUG","4","1"
12434,"22090","PAPER BUNTING RETRO SPOTS","1","1"
12435,"21509","COWBOYS AND INDIANS BIRTHDAY CARD ","2","1"
12437,"POST","POSTAGE","20","1"
12439,"18096C","WHITE ROUND PORCELAIN TLIGHT HOLDER","3","1"
12440,"20750"," RED/WHITE DOT MINI CASES","3","1"
12441,"22051","BLUE SCANDINAVIAN PAISLEY WRAP","1","1"
12443,"22098","BOUDOIR SQUARE TISSUE BOX","1","1"
12445,"72807B","SET/3 OCEAN SCENT CANDLE JEWEL BOX","2","1"
12449,"22755","nan","1","1"
12450,"20726","LUNCH BAG WOODLAND","3","1"
12451,"22554","PLASTERS IN TIN WOODLAND ANIMALS","2","1"
12454,"22341","LOVE GARLAND PAINTED ZINC ","5","1"
12455,"85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","1"
12457,"22636","CHILDS BREAKFAST SET CIRCUS PARADE","2","1"
12458,"21731","RED TOADSTOOL LED NIGHT LIGHT","2","1"
12459,"20723","STRAWBERRY CHARLOTTE BAG","1","1"
12460,"16161P","WRAP ENGLISH ROSE ","1","1"
12466,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12467,"22909","nan","2","1"
12468,"22355","CHARLOTTE BAG , SUKI DESIGN","3","1"
12469,"20616","CHERRY BLOSSOM PASSPORT COVER","1","1"
12470,"20685","RED SPOTTY COIR DOORMAT","1","1"
12471,"21700","BIG DOUGHNUT FRIDGE MAGNETS","26","1"
12472,"22245","HOOK, 1 HANGER ,MAGIC GARDEN","13","1"
12474,"POST","POSTAGE","11","1"
12475,"20681","PINK SPOTTY CHILDS UMBRELLA","1","1"
12476,"POST","POSTAGE","7","1"
12477,"21563","RED HEART SHAPE LOVE BUCKET ","3","1"
12480,"22138","BAKING SET 9 PIECE RETROSPOT ","3","1"
12481,"POST","POSTAGE","5","1"
12482,"21077","SET/20 WOODLAND PAPER NAPKINS ","10","1"
12483,"POST","POSTAGE","11","1"
12484,"35915B","BLUE KNITTED HEN ","3","1"
12485,"20704","MR ROBOT SOFT TOY","1","1"
12486,"20681","PINK SPOTTY CHILDS UMBRELLA","1","1"
12487,"21680","WOODLAND  STICKERS","1","1"
12490,"POST","POSTAGE","11","1"
12492,"20973","12 PENCIL SMALL TUBE WOODLAND","1","1"
12494,"POST","POSTAGE","3","1"
12495,"85121C","RETRO LAUNDRY TUB PISTACHIO","2","1"
12496,"37477B","FLOWER FAIRY MUG+COASTER,LAVENDER","3","1"
12497,"20772","GARDEN PATH JOURNAL","2","1"
12499,"20676","RED SPOTTY BOWL","1","1"
12500,"POST","POSTAGE","7","1"
12503,"POST","POSTAGE","1","1"
12504,"84991","60 TEATIME FAIRY CAKE CASES","2","1"
12505,"22634","CHILDS BREAKFAST SET SPACEBOY ","2","1"
12507,"21214","SET OF 72 IVORY PAPER DOILIES","1","1"
12510,"POST","POSTAGE","7","1"
12511,"22180","RETRO SPOT LAMP","2","1"
12514,"10002","INFLATABLE POLITICAL GLOBE ","1","1"
12516,"POST","POSTAGE","2","1"
12519,"22138","BAKING SET 9 PIECE RETROSPOT ","2","1"
12523,"POST","POSTAGE","8","1"
12524,"POST","POSTAGE","8","1"
12525,"22180","RETRO SPOT LAMP","7","1"
12527,"22215","CAKE STAND WHITE TWO TIER LACE","2","1"
12529,"22558","nan","2","1"
12530,"POST","POSTAGE","6","1"
12531,"22254","FELT TOADSTOOL LARGE","2","1"
12533,"21535","RETRO SPOT SMALL MILK JUG","3","1"
12537,"20846","ZINC HEART LATTICE T-LIGHT HOLDER","1","1"
12538,"85035C","ROSE 3 WICK MORRIS BOX CANDLE","1","1"
12539,"22046","TEA PARTY  WRAPPING PAPER ","3","1"
12540,"POST","POSTAGE","16","1"
12542,"22269","EGG CUP NATURAL CHICKEN","2","1"
12543,"20719","WOODLAND CHARLOTTE BAG","1","1"
12547,"21080","SET/20 RED SPOTTY PAPER NAPKINS ","1","1"
12549,"21210","SET OF 72 RETRO SPOT PAPER  DOILIES","3","1"
12553,"20750"," RED/WHITE DOT MINI CASES","2","1"
12554,"22212","FOUR HOOK  WHITE LOVEBIRDS","1","1"
12555,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12557,"84997D","PINK 3 PIECE MINI DOTS CUTLERY SET","3","1"
12562,"POST","POSTAGE","2","1"
12563,"20675","BLUE SPOTTY BOWL","1","1"
12567,"POST","POSTAGE","7","1"
12568,"16161P","WRAP ENGLISH ROSE ","1","1"
12570,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12573,"21098","CHRISTMAS TOILET ROLL","3","1"
12575,"21242","RED SPOTTY PLATE ","2","1"
12576,"22180","RETRO SPOT LAMP","2","1"
12577,"21591","COSY HOUR CIGAR BOX MATCHES ","2","1"
12578,"22311","OFFICE MUG WARMER BLACK+SILVER ","2","1"
12580,"16237","SLEEPING CAT ERASERS","1","1"
12582,"20754","RETRO RED SPOTTY WASHING UP GLOVES","2","1"
12583,"POST","POSTAGE","13","1"
12586,"84840","nan","2","1"
12588,"POST","POSTAGE","3","1"
12589,"22138","BAKING SET 9 PIECE RETROSPOT ","5","1"
12590,"22312","OFFICE MUG WARMER POLKADOT","1","1"
12591,"POST","POSTAGE","2","1"
12592,"M","Manual","4","1"
12594,"20719","WOODLAND CHARLOTTE BAG","3","1"
12595,"21106","CREAM SLICE FLANNEL CHOCOLATE SPOT ","1","1"
12598,"20725","LUNCH BAG RED SPOTTY","2","1"
12599,"POST","POSTAGE","6","1"
12600,"20679","EDWARDIAN PARASOL RED","11","1"
12601,"22180","RETRO SPOT LAMP","1","1"
12605,"POST","POSTAGE","4","1"
12606,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12608,"10135","COLOURING PENCILS BROWN TUBE","1","1"
12609,"POST","POSTAGE","7","1"
12613,"POST","POSTAGE","5","1"
12615,"22139","RETRO SPOT TEA SET CERAMIC 11 PC ","3","1"
12616,"22617","BAKING SET SPACEBOY DESIGN","2","1"
12619,"21210","SET OF 72 RETRO SPOT PAPER  DOILIES","1","1"
12621,"POST","POSTAGE","15","1"
12623,"POST","POSTAGE","8","1"
12625,"21122","SET/10 PINK SPOTTY PARTY CANDLES","2","1"
12629,"22946","WOODEN ADVENT CALENDAR CREAM","2","1"
12631,"84997D","PINK 3 PIECE MINI DOTS CUTLERY SET","4","1"
12632,"21542","WOODLAND WATER TRANSFER TATTOOS ","3","1"
12633,"20718","RED SPOTTY SHOPPER BAG","3","1"
12634,"21121","SET/10 RED SPOTTY PARTY CANDLES","1","1"
12635,"POST","POSTAGE","2","1"
12636,"POST","POSTAGE","1","1"
12637,"22326","ROUND SNACK BOXES ,SET4, WOODLAND ","5","1"
12638,"21232","STRAWBERRY CERAMIC TRINKET BOX","1","1"
12639,"POST","POSTAGE","2","1"
12643,"21213","PACK OF 72 SKULL CAKE CASES","5","1"
12644,"84997C","BLUE 3 PIECE MINI DOTS CUTLERY SET","3","1"
12645,"POST","POSTAGE","4","1"
12647,"POST","POSTAGE","23","1"
12648,"POST","POSTAGE","3","1"
12649,"22326","ROUND SNACK BOXES ,SET4, WOODLAND ","5","1"
12651,"85232B","SET/3 RUSSIAN DOLL STACKING TINS","2","1"
12652,"21531","RETRO SPOT SUGAR JAM BOWL","1","1"
12653,"21936","RED/WHITE SPOT PICNIC BAG","1","1"
12655,"20665","RED SPOTTY PURSE ","1","1"
12656,"20726","LUNCH BAG WOODLAND","3","1"
12661,"21974","SET OF 36 PAISLEY FLOWER DOILIES","1","1"
12662,"POST","POSTAGE","10","1"
12663,"POST","POSTAGE","2","1"
12664,"84997D","PINK 3 PIECE MINI DOTS CUTLERY SET","2","1"
12665,"21232","STRAWBERRY CERAMIC TRINKET BOX","2","1"
12666,"22846","BREAD BIN DINER STYLE RED ","1","1"
12668,"21232","STRAWBERRY CERAMIC TRINKET BOX","5","1"
12670,"21731","RED TOADSTOOL LED NIGHT LIGHT","2","1"
12671,"21878","PACK OF 6 SANDCASTLE FLAGS ASSORTED","1","1"
12672,"22094","RED POLKA DOT TISSUE BOX","2","1"
12673,"21484","CHICK GREY HOT WATER BOTTLE","1","1"
12675,"21340","CLASSIC METAL BIRDCAGE PLANT HOLDER","3","1"
12676,"POST","POSTAGE","5","1"
12677,"POST","POSTAGE","2","1"
12678,"22133","PINK LOVE HEART SHAPE CUP","5","1"
12681,"POST","POSTAGE","25","1"
12682,"POST","POSTAGE","21","1"
12683,"POST","POSTAGE","8","1"
12686,"21786","RAIN HAT WITH RED SPOTS","1","1"
12687,"20685","RED SPOTTY COIR DOORMAT","1","1"
12691,"22659","LUNCHBOX I LOVE LONDON","1","1"
12692,"85047","WHITE BEADED GARLAND STRING 20LIGHT","1","1"
12693,"POST","POSTAGE","3","1"
12694,"21156","RED SPOTTY CHILDS APRON","2","1"
12695,"48138","DOOR MAT UNION FLAG","3","1"
12696,"21672","WHITE SPOT RED CERAMIC DRAWER KNOB","2","1"
12698,"20718","RED SPOTTY SHOPPER BAG","1","1"
12699,"20719","WOODLAND CHARLOTTE BAG","1","1"
12701,"POST","POSTAGE","4","1"
12703,"20676","RED SPOTTY BOWL","4","1"
12705,"21481","FAWN BLUE HOT WATER BOTTLE","4","1"
12706,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12708,"POST","POSTAGE","10","1"
12709,"21658","GLASS  BEURRE DISH","10","1"
12711,"21330","WOODLAND ANIMAL  WRITING SET ","2","1"
12712,"POST","POSTAGE","10","1"
12714,"POST","POSTAGE","7","1"
12717,"20702","PINK PADDED MOBILE","1","1"
12720,"85006","SET 4 NURSERY DES ROUND BOXES","5","1"
12721,"22634","CHILDS BREAKFAST SET SPACEBOY ","4","1"
12724,"22355","CHARLOTTE BAG , SUKI DESIGN","3","1"
12725,"POST","POSTAGE","3","1"
12726,"21086","SET/6 RED SPOTTY PAPER CUPS","4","1"
12727,"22215","CAKE STAND WHITE TWO TIER LACE","3","1"
12728,"20719","WOODLAND CHARLOTTE BAG","1","1"
12730,"20794","BLUE  TILE HOOK","1","1"
12731,"84879","ASSORTED COLOUR BIRD ORNAMENT","5","1"
12733,"37501","TEA TIME TEA SET IN GIFT BOX","4","1"
12734,"22199","FRYING PAN RED POLKADOT ","2","1"
12737,"C2","CARRIAGE","1","1"
12738,"21212","PACK OF 72 RETRO SPOT CAKE CASES","1","1"
12739,"22614","PACK OF 12 SPACEBOY TISSUES","1","1"
12741,"20752","RETRO BLUE SPOTTY WASHING UP GLOVES","1","1"
12742,"22383","LUNCHBAG SUKI  DESIGN ","2","1"
12744,"21790","VINTAGE SNAP CARDS","2","1"
12745,"84991","60 TEATIME FAIRY CAKE CASES","2","1"
12746,"21528","DAIRY MAID TRADITIONAL TEAPOT ","2","1"
12747,"82494L","WOODEN FRAME ANTIQUE WHITE ","9","1"
12748,"M","Manual","19","1"
12749,"22424","ENAMEL BREAD BIN CREAM","5","1"
12751,"22336","DOVE DECORATION PAINTED ZINC ","2","1"
12755,"22328","ROUND SNACK BOXES ,SET 4, FRUITS ","9","1"
12758,"21929","JUMBO BAG PINK VINTAGE PAISLEY","4","1"
12759,"POST","POSTAGE","5","1"
12760,"20682","RED SPOTTY CHILDS UMBRELLA","1","1"
12761,"20725","LUNCH BAG RED SPOTTY","1","1"
12763,"84520B","PACK 20 ENGLISH ROSE PAPER NAPKINS","1","1"
12765,"POST","POSTAGE","6","1"
12766,"22618","COOKING SET RETROSPOT","3","1"
12767,"20668","DISCO BALL CHRISTMAS DECORATION","1","1"
12768,"84625C","BLUE NEW BAROQUE CANDLESTICK CANDLE","2","1"
12770,"22617","BAKING SET SPACEBOY DESIGN","2","1"
12771,"22138","BAKING SET 9 PIECE RETROSPOT ","2","1"
12773,"17164B","ASS COL SMALL SAND GECKO P'WEIGHT","2","1"
12774,"22078","RIBBON REEL LACE DESIGN ","1","1"
12775,"POST","POSTAGE","2","1"
12776,"22355","CHARLOTTE BAG , SUKI DESIGN","1","1"
12777,"16161P","WRAP ENGLISH ROSE ","1","1"
12778,"22132","RED LOVE HEART SHAPE CUP","3","1"
12779,"21232","STRAWBERRY CERAMIC TRINKET BOX","5","1"
12780,"21715","GIRLS VINTAGE TIN SEASIDE BUCKET","1","1"
12782,"POST","POSTAGE","5","1"
12784,"15060B","FAIRY CAKE DESIGN UMBRELLA","1","1"
12785,"POST","POSTAGE","2","1"
12786,"21348","PINK SPOTS CHOCOLATE NESTING BOXES ","1","1"
12787,"POST","POSTAGE","2","1"
12788,"POST","POSTAGE","4","1"
12789,"POST","POSTAGE","2","1"
12790,"22635","CHILDS BREAKFAST SET DOLLY GIRL ","2","1"
12791,"POST","POSTAGE","5","1"
12792,"22605","WOODEN CROQUET GARDEN SET","1","1"
12793,"20669","RED HEART LUGGAGE TAG","2","1"
12796,"85099F","JUMBO BAG STRAWBERRY","1","1"
12797,"POST","POSTAGE","2","1"
12798,"10002","INFLATABLE POLITICAL GLOBE ","1","1"
12799,"21259","VICTORIAN SEWING BOX SMALL ","1","1"
12800,"POST","POSTAGE","2","1"
12801,"84078A","SET/4 WHITE RETRO STORAGE CUBES ","2","1"
12802,"POST","POSTAGE","4","1"
12803,"20699","MOUSEY LONG LEGS SOFT TOY","1","1"
12804,"20978","36 PENCILS TUBE SKULLS","2","1"
12805,"POST","POSTAGE","4","1"
12806,"21242","RED SPOTTY PLATE ","2","1"
12807,"POST","POSTAGE","2","1"
12808,"22275","WEEKEND BAG VINTAGE ROSE PAISLEY","1","1"
12809,"21527","RETRO SPOT TRADITIONAL TEAPOT ","3","1"
12810,"17174","ASSTD RASTA KEY-CHAINS","1","1"
12811,"POST","POSTAGE","2","1"
12813,"22297","HEART IVORY TRELLIS SMALL","3","1"
12817,"POST","POSTAGE","2","1"
12819,"22625","RED KITCHEN SCALES","1","1"
12820,"84029E","RED WOOLLY HOTTIE WHITE HEART.","3","1"
12821,"22296","HEART IVORY TRELLIS LARGE","1","1"
12823,"48138","DOOR MAT UNION FLAG","13","1"
12825,"22055","MINI CAKE STAND  HANGING STRAWBERY","2","1"
12826,"85132A","CHARLIE + LOLA BISCUITS TINS","5","1"
12829,"35957","SMALLFOLKART BAUBLE CHRISTMAS DEC","1","1"
12831,"22470","HEART OF WICKER LARGE","1","1"
12835,"21527","RETRO SPOT TRADITIONAL TEAPOT ","28","1"
12836,"48194","DOORMAT HEARTS","5","1"
12837,"22294","HEART FILIGREE DOVE  SMALL","2","1"
12838,"22865","HAND WARMER OWL DESIGN","6","1"
12839,"21232","STRAWBERRY CERAMIC TRINKET BOX","10","1"
12840,"21459","YELLOW EASTER EGG HUNT START POST","2","1"
12841,"22086","PAPER CHAIN KIT 50'S CHRISTMAS ","10","1"
12842,"22086","PAPER CHAIN KIT 50'S CHRISTMAS ","2","1"
12843,"22423","REGENCY CAKESTAND 3 TIER","5","1"
12844,"48138","DOOR MAT UNION FLAG","2","1"
12846,"ADJUST","Adjustment by john on 26/01/2010 16","1","1"
12847,"21232","STRAWBERRY CERAMIC TRINKET BOX","2","1"
12848,"90010E","AMBER GLASS/SILVER BRACELET","1","1"
12849,"22694","WICKER STAR ","3","1"
12850,"21928","JUMBO BAG SCANDINAVIAN PAISLEY","1","1"
12851,"16212","FUNKY GIRLZ ASST MAGNETIC MEMO PAD","1","1"
12853,"22423","REGENCY CAKESTAND 3 TIER","4","1"
12854,"21534","DAIRY MAID LARGE MILK JUG","5","1"
12855,"84836","ZINC METAL HEART DECORATION","2","1"
12857,"84946","ANTIQUE SILVER TEA GLASS ETCHED","3","1"
12858,"20725","LUNCH BAG RED SPOTTY","4","1"
12859,"20681","PINK SPOTTY CHILDS UMBRELLA","1","1"
12860,"21439","BASKET OF TOADSTOOLS","2","1"
12861,"22283","6 EGG HOUSE PAINTED WOOD","1","1"
12862,"21282","NATURAL BARK CANDLE LARGE","2","1"
12863,"22197","POPCORN HOLDER , SMALL ","6","1"
12864,"21034","REX CASH+CARRY JUMBO SHOPPER","1","1"
12865,"21124","SET/10 BLUE SPOTTY PARTY CANDLES","2","1"
12866,"POST","POSTAGE","2","1"
12867,"21429","RED GINGHAM ROSE JEWELLERY BOX","6","1"
12868,"22766","PHOTO FRAME CORNICE","2","1"
12869,"82600","NO SINGING METAL SIGN","2","1"
12870,"21509","COWBOYS AND INDIANS BIRTHDAY CARD ","2","1"
12871,"21232","STRAWBERRY CERAMIC TRINKET BOX","1","1"
12872,"85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","1"
12873,"21754","HOME BUILDING BLOCK WORD","2","1"
12874,"22554","PLASTERS IN TIN WOODLAND ANIMALS","2","1"
12875,"35160","BUDDHA INCENSE HOLDER ASSORTED","3","1"
12876,"22326","ROUND SNACK BOXES ,SET4, WOODLAND ","2","1"
12877,"22502","mailout","5","1"
12880,"21523","FANCY FONT HOME SWEET HOME DOORMAT","2","1"
12887,"21755","LOVE BUILDING BLOCK WORD","1","1"
12889,"22138","BAKING SET 9 PIECE RETROSPOT ","3","1"
12890,"84946","ANTIQUE SILVER TEA GLASS ETCHED","2","1"
12891,"21498","RED SPOTS  WRAP ","5","1"
12892,"21871","SAVE THE PLANET MUG","1","1"
12894,"84782B","BLACK 3 TIER GLASS PLATE STAND","1","1"
12896,"22121","NOEL WOODEN BLOCK LETTERS ","1","1"
12897,"22469","HEART OF WICKER SMALL","2","1"
12898,"22087","PAPER BUNTING WHITE LACE","4","1"
12899,"21912","VINTAGE SNAKES & LADDERS","1","1"
12900,"22151","PLACE SETTING WHITE HEART","1","1"
12903,"21259","VICTORIAN SEWING BOX SMALL ","1","1"
12905,"47568","ENGLISH ROSE DESIGN PEG BAG","2","1"
12907,"71053","WHITE METAL LANTERN","2","1"
12908,"15036","ASSORTED COLOURS SILK FAN","3","1"
12909,"21843","RETRO SPOT CAKE STAND","4","1"
12910,"22382","LUNCHBAG SPACEBOY DESIGN ","5","1"
12911,"21156","RED SPOTTY CHILDS APRON","3","1"
12913,"84946","ANTIQUE SILVER TEA GLASS ETCHED","6","1"
12914,"15036","ASSORTED COLOURS SILK FAN","1","1"
12915,"37495","FAIRY CAKE BIRTHDAY CANDLE SET","5","1"
12916,"84949","SILVER HANGING T-LIGHT HOLDER","4","1"
12917,"15056N","EDWARDIAN PARASOL NATURAL","5","1"
12918,"M","Manual","3","1"
12920,"16169P","WRAP GREEN RUSSIAN FOLKART ","1","1"
12921,"20725","LUNCH BAG RED SPOTTY","16","1"
12923,"20749","ASSORTED COLOUR MINI CASES","2","1"
12924,"84946","ANTIQUE SILVER TEA GLASS ETCHED","5","1"
12925,"22035","VINTAGE CARAVAN GREETING CARD ","1","1"
12926,"20985","HEART CALCULATOR","5","1"
12927,"21187","WHITE BELL HONEYCOMB PAPER GARLAND ","1","1"
12928,"22386","JUMBO BAG PINK WITH WHITE SPOTS","5","1"
12931,"20972","PINK CREAM FELT CRAFT TRINKET BOX ","16","1"
12932,"21670","BLUE SPOT CERAMIC DRAWER KNOB","4","1"
12933,"22743","MAKE YOUR OWN FLOWERPOWER CARD KIT","4","1"
12934,"21769","VINTAGE POST OFFICE CABINET","1","1"
12935,"48194","DOORMAT HEARTS","5","1"
12937,"20727","LUNCH BAG  BLACK SKULL.","4","1"
12939,"20712","JUMBO BAG WOODLAND ANIMALS","5","1"
12941,"21731","RED TOADSTOOL LED NIGHT LIGHT","1","1"
12942,"20675","BLUE SPOTTY BOWL","1","1"
12943,"22246","GARLAND, MAGIC GARDEN 1.8M","2","1"
12945,"20711","JUMBO BAG TOYS ","1","1"
12946,"20972","PINK CREAM FELT CRAFT TRINKET BOX ","1","1"
12947,"21479","WHITE SKULL HOT WATER BOTTLE ","1","1"
12948,"20730","STRAWBERRY CANDY BAG","2","1"
12949,"20828","GLITTER BUTTERFLY CLIPS","8","1"
12951,"22379","RECYCLING BAG RETROSPOT ","5","1"
12953,"11001","ASSTD DESIGN RACING CAR PEN","1","1"
12954,"21407","BROWN CHECK CAT DOORSTOP ","1","1"
12956,"22132","RED LOVE HEART SHAPE CUP","1","1"
12957,"21844","RETRO SPOT MUG","4","1"
12958,"22900","nan","3","1"
12959,"20801","LARGE PINK GLASS SUNDAE DISH","1","1"
12960,"22274","FELTCRAFT DOLL EMILY","4","1"
12961,"21212","PACK OF 72 RETRO SPOT CAKE CASES","2","1"
12963,"21588","RETRO SPOT GIANT  TUBE MATCHES","4","1"
12964,"22403","MAGNETS PACK OF 4 VINTAGE LABELS ","1","1"
12967,"20682","RED SPOTTY CHILDS UMBRELLA","2","1"
12969,"21524","SPOTTY  HOME SWEET HOME DOORMAT","1","1"
12970,"21726","MULTI HEARTS  STICKERS","4","1"
12971,"22087","PAPER BUNTING WHITE LACE","8","1"
12972,"21392","RED SPOTTY PUDDING BOWL","3","1"
12973,"22083","PAPER CHAIN KIT RETRO SPOT","1","1"
12974,"15056BL","EDWARDIAN PARASOL BLACK","1","1"
12975,"85063","CREAM SWEETHEART MAGAZINE RACK","4","1"
12976,"21544","SKULLS  WATER TRANSFER TATTOOS ","4","1"
12977,"22217","T-LIGHT HOLDER HANGING LACE","2","1"
12978,"79323P","PINK CHERRY LIGHTS","4","1"
12979,"22093","MOTORING TISSUE BOX","2","1"
12980,"84078A","SET/4 WHITE RETRO STORAGE CUBES ","12","1"
12982,"22072","TEA CUP AND SAUCER RETRO SPOT","5","1"
12983,"20711","JUMBO BAG TOYS ","1","1"
12986,"22179","SET 10 LIGHTS NIGHT OWL","7","1"
12987,"22227","DECORATION, HANGING HEART+MIRROR ","2","1"
12989,"72741","GRAND CHOCOLATECANDLE","10","1"
12990,"85099F","JUMBO BAG STRAWBERRY","3","1"
12991,"20749","ASSORTED COLOUR MINI CASES","1","1"
12992,"22112","CHOCOLATE HOT WATER BOTTLE","1","1"
12993,"20728","LUNCH BAG CARS BLUE","2","1"
12996,"21754","HOME BUILDING BLOCK WORD","1","1"
12997,"85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","1"
12998,"21232","STRAWBERRY CERAMIC TRINKET BOX","2","1"
13000,"79323G","GOLD  CHERRY LIGHTS","2","1"
13001,"21754","HOME BUILDING BLOCK WORD","10","1"
13002,"22112","CHOCOLATE HOT WATER BOTTLE","2","1"
13004,"22061","LARGE CAKE STAND  HANGING STRAWBERY","11","1"
13005,"22634","CHILDS BREAKFAST SET SPACEBOY ","3","1"
13007,"21259","VICTORIAN SEWING BOX SMALL ","1","1"
13008,"22300","COFFEE MUG DOG + BALL DESIGN","4","1"
13009,"21929","JUMBO BAG PINK VINTAGE PAISLEY","1","1"
13010,"22047","EMPIRE GIFT WRAP","2","1"
13011,"22508","DOORSTOP RETROSPOT HEART","1","1"
13012,"85150","LADIES & GENTLEMEN METAL SIGN","3","1"
13013,"22086","PAPER CHAIN KIT 50'S CHRISTMAS ","6","1"
13014,"37495","FAIRY CAKE BIRTHDAY CANDLE SET","2","1"
13015,"21868","POTTING SHED TEA MUG","3","1"
13018,"20724","RED SPOTTY CHARLOTTE BAG","4","1"
13019,"22891","TEA FOR ONE POLKADOT","3","1"
13020,"21318","GLASS CHALICE BLUE SMALL ","3","1"
13021,"79164","BLACK WINE GLASS","4","1"
13022,"20957","PORCELAIN HANGING BELL SMALL","1","1"
13023,"20974","12 PENCILS SMALL TUBE SKULL","1","1"
13024,"37495","FAIRY CAKE BIRTHDAY CANDLE SET","2","1"
13025,"20751","FUNKY WASHING UP GLOVES ASSORTED","1","1"
13026,"17003","BROCADE RING PURSE ","3","1"
13027,"84992","72 SWEETHEART FAIRY CAKE CASES","12","1"
13029,"22504","CABIN BAG VINTAGE RETROSPOT","2","1"
13030,"21928","JUMBO BAG SCANDINAVIAN PAISLEY","2","1"
13031,"22646","CERAMIC STRAWBERRY CAKE MONEY BANK","7","1"
13032,"22646","CERAMIC STRAWBERRY CAKE MONEY BANK","5","1"
13033,"22379","RECYCLING BAG RETROSPOT ","1","1"
13034,"22470","HEART OF WICKER LARGE","2","1"
