"customer_id","last_purchase_date","frequency","monetary_value"
12755,"2010-12-09","19","4203.15"
12758,"2010-09-06","6","6987.41"
12759,"2010-11-18","5","3489.30"
12760,"2010-09-10","1","347.80"
12761,"2010-09-08","2","782.95"
12763,"2010-12-05","1","320.08"
12765,"2010-08-24","6","1404.58"
12766,"2010-12-08","5","3036.80"
12767,"2010-11-29","1","949.82"
12768,"2010-10-04","2","0.00"
12770,"2010-11-05","6","1624.50"
12771,"2010-09-01","2","262.50"
12773,"2010-05-24","2","0.00"
12774,"2010-06-22","1","98.70"
12775,"2010-11-16","2","300.08"
12776,"2010-02-10","1","55.50"
12777,"2010-09-08","1","519.45"
12778,"2010-11-08","3","953.45"
12779,"2010-12-03","10","2538.06"
12780,"2010-04-20","1","337.40"
12782,"2010-11-30","8","2252.72"
12784,"2010-06-28","1","1230.33"
12785,"2010-06-22","3","773.60"
12786,"2010-04-09","1","728.50"
12787,"2010-10-22","2","395.52"
12788,"2010-09-02","4","444.90"
12789,"2010-07-15","2","181.50"
12790,"2010-10-28","2","238.53"
12791,"2010-12-01","8","585.15"
12792,"2010-06-23","2","413.34"
12793,"2010-12-03","2","471.85"
12796,"2010-03-21","1","381.00"
12797,"2010-12-09","4","531.28"
12798,"2010-10-14","1","1533.89"
12799,"2010-06-28","1","219.35"
12800,"2010-08-26","3","584.25"
12801,"2010-08-19","2","1031.87"
12802,"2010-09-23","7","1937.84"
12803,"2010-11-11","1","1092.81"
12804,"2010-08-31","2","327.02"
12805,"2010-11-23","4","1434.95"
12806,"2010-09-30","4","2878.96"
12807,"2010-11-22","3","269.95"
12808,"2010-12-06","3","422.45"
12809,"2010-06-04","6","1220.98"
12810,"2010-06-23","2","534.99"
12811,"2010-11-26","2","519.05"
12813,"2010-07-26","3","1687.80"
12817,"2010-11-05","2","524.94"
12819,"2010-09-07","1","540.52"
12820,"2010-11-07","9","1705.60"
12821,"2010-04-07","1","128.08"
12823,"2010-11-10","13","4742.00"
12825,"2010-07-06","2","518.63"
12826,"2010-12-09","8","1460.57"
12829,"2010-06-07","1","92.30"
12831,"2010-09-02","2","236.06"
12835,"2010-10-17","49","6018.67"
12836,"2010-11-15","13","3933.61"
12837,"2010-05-19","1","554.31"
12838,"2010-12-01","11","2692.90"
12839,"2010-12-07","16","4344.21"
12840,"2010-09-28","5","1299.60"
12841,"2010-12-05","18","3514.08"
12842,"2010-10-31","2","799.00"
12843,"2010-11-22","25","4664.85"
12844,"2010-09-23","2","322.64"
12846,"2010-01-26","1","15.58"
12847,"2010-11-17","1","765.36"
12848,"2010-02-02","1","208.00"
12849,"2010-11-23","4","2039.67"
12850,"2010-09-20","1","330.00"
12851,"2010-08-19","1","148.95"
12853,"2010-10-14","7","1846.80"
12854,"2010-05-27","6","1633.22"
12855,"2010-12-02","4","612.84"
12857,"2010-09-29","5","2577.85"
12858,"2010-11-21","2","151.73"
12859,"2010-09-07","1","575.10"
12860,"2010-01-15","1","55.47"
12861,"2010-03-30","1","68.25"
12862,"2010-10-10","2","1008.32"
12863,"2010-11-25","5","2271.35"
12864,"2010-07-19","1","152.45"
12865,"2010-11-26","2","1755.24"
12866,"2010-08-22","2","668.23"
12867,"2010-11-07","6","3876.47"
12868,"2010-12-01","3","640.00"
12869,"2010-01-27","1","337.67"
12870,"2010-12-08","4","1662.05"
12871,"2010-09-26","1","363.38"
12872,"2010-12-09","12","3078.37"
12873,"2010-11-07","2","1653.30"
12874,"2010-11-19","3","933.42"
12875,"2010-08-25","3","1013.76"
12876,"2010-11-10","3","1850.57"
12877,"2010-11-03","8","1419.40"
12880,"2010-11-23","2","640.13"
12887,"2010-11-21","1","222.40"
12889,"2010-11-23","6","365.66"
12890,"2010-11-17","1","336.80"
12891,"2010-09-07","9","488.50"
12892,"2010-11-08","1","263.38"
12894,"2010-05-13","1","157.35"
12896,"2009-12-09","1","-29.75"
12897,"2010-11-23","2","297.75"
12898,"2010-09-02","2","310.96"
12899,"2010-10-22","1","366.40"
12900,"2010-10-13","1","340.33"
12903,"2010-10-07","1","833.53"
12905,"2010-05-12","3","1011.82"
12907,"2010-11-09","3","440.36"
12908,"2010-11-24","3","1026.00"
12909,"2010-10-13","5","905.94"
12910,"2010-11-25","6","2671.98"
12911,"2010-06-06","1","1680.47"
12913,"2010-12-06","9","4217.23"
12914,"2010-11-04","1","223.98"
12915,"2010-12-02","7","721.20"
12916,"2010-09-23","3","1647.87"
12917,"2010-11-04","7","3735.50"
12918,"2010-03-23","3","-10953.50"
12920,"2010-05-17","3","323.86"
12921,"2010-12-08","55","18249.71"
12923,"2010-11-14","2","612.90"
12924,"2010-11-12","9","1493.20"
12925,"2010-04-26","1","35.28"
12926,"2010-10-24","4","1548.46"
12927,"2010-11-10","1","197.31"
12928,"2010-11-26","7","2242.19"
12931,"2010-11-24","51","37836.86"
12932,"2010-06-18","8","1698.56"
12933,"2010-11-24","7","1021.00"
12934,"2009-12-03","1","181.65"
12935,"2010-11-30","11","2025.56"
12937,"2010-09-02","5","1593.34"
12939,"2010-11-25","12","13683.00"
12941,"2009-12-15","1","377.49"
12942,"2010-12-09","1","258.75"
12943,"2010-11-11","3","492.75"
12945,"2010-02-21","1","437.16"
12946,"2010-09-29","1","324.45"
12947,"2010-12-01","1","304.04"
12948,"2009-12-09","2","252.48"
12949,"2010-11-22","18","11247.98"
12951,"2010-11-30","12","2122.35"
12953,"2010-07-05","1","498.96"
12954,"2010-03-11","1","162.45"
12956,"2010-01-24","3","413.82"
12957,"2010-06-16","9","4649.38"
12958,"2010-11-04","2","539.49"
12959,"2010-08-12","2","133.35"
12960,"2010-10-22","4","1322.07"
12961,"2010-11-25","1","211.99"
12963,"2010-12-09","6","1671.76"
12964,"2010-09-28","1","132.24"
12967,"2010-12-03","2","2646.02"
12969,"2010-04-16","1","122.45"
12970,"2010-11-24","6","1072.73"
12971,"2010-12-08","34","4552.48"
12972,"2010-10-22","6","1115.95"
12973,"2010-10-22","1","385.55"
12974,"2010-05-23","1","264.15"
12975,"2010-10-05","8","1993.99"
12976,"2010-11-26","7","2417.78"
12977,"2010-07-26","3","478.39"
12978,"2010-11-19","6","2496.07"
12979,"2009-12-10","2","479.54"
12980,"2010-11-25","14","8817.33"
12982,"2010-11-16","15","2184.92"
12983,"2010-04-20","1","490.08"
12986,"2010-11-02","12","1991.59"
12987,"2010-10-15","3","753.51"
12989,"2010-10-11","20","5992.29"
12990,"2010-10-18","4","546.00"
12991,"2010-11-15","1","261.06"
12992,"2009-12-14","1","93.35"
12993,"2010-10-12","6","776.50"
12996,"2010-11-29","1","355.50"
12997,"2010-11-16","9","867.17"
12998,"2010-08-04","4","897.38"
13000,"2010-05-18","2","430.15"
13001,"2010-10-31","22","14338.13"
13002,"2010-10-19","2","293.18"
13004,"2010-11-18","24","5530.56"
13005,"2010-10-08","3","466.08"
13007,"2010-05-09","1","175.25"
13008,"2010-11-07","5","364.81"
13009,"2010-02-05","1","234.00"
13010,"2010-11-30","2","330.12"
13011,"2010-12-02","1","50.55"
13012,"2010-10-06","4","1279.56"
13013,"2010-12-03","18","7814.83"
13014,"2010-10-08","2","1855.40"
13015,"2010-10-07","9","3119.44"
13018,"2010-11-03","8","2470.06"
13019,"2010-11-25","8","1212.95"
13020,"2010-06-09","5","606.96"
13021,"2010-12-09","13","2201.98"
13022,"2010-10-06","1","65.30"
13023,"2010-06-29","1","759.13"
13024,"2010-09-01","3","535.42"
13025,"2009-12-08","1","323.39"
13026,"2010-08-08","5","753.97"
13027,"2010-11-19","17","10236.00"
13029,"2010-11-30","2","679.80"
13030,"2010-12-06","1","427.74"
13031,"2010-10-28","5","3419.27"
13032,"2010-11-12","8","1821.07"
13033,"2010-10-06","1","30.00"
13034,"2010-12-05","2","279.91"
13035,"2010-10-04","1","442.32"
13036,"2010-01-24","1","307.10"
13037,"2010-11-05","13","2961.48"
13039,"2010-05-04","4","1010.73"
13041,"2010-09-15","4","799.13"
13042,"2010-05-04","4","1522.79"
13044,"2010-08-04","12","4263.73"
13045,"2010-11-03","2","503.64"
13046,"2010-09-09","1","319.94"
13047,"2010-12-01","27","5387.62"
13048,"2010-09-29","8","2229.25"
13049,"2010-11-15","3","727.46"
13050,"2010-12-08","30","6137.83"
13051,"2010-05-10","2","155.80"
13052,"2010-10-15","6","2820.38"
13053,"2010-03-28","1","127.65"
13054,"2010-01-26","1","-14.00"
13055,"2010-10-26","2","1090.55"
13056,"2010-06-06","1","209.48"
13057,"2010-06-27","4","540.74"
13059,"2010-10-22","11","2089.22"
13063,"2010-08-16","1","188.40"
13064,"2010-06-07","2","561.25"
13065,"2010-12-01","6","1050.10"
13067,"2010-10-26","2","393.05"
13069,"2010-12-05","17","5029.65"
13070,"2010-09-06","4","515.10"
13071,"2010-04-06","1","129.22"
13073,"2010-10-24","2","418.08"
13074,"2010-07-16","5","1362.84"
13076,"2010-09-08","1","135.40"
13077,"2010-12-08","11","2310.90"
13078,"2010-12-08","53","16451.55"
13079,"2010-10-18","1","199.08"
13080,"2010-11-03","4","202.75"
13081,"2010-12-03","25","30363.67"
13082,"2010-10-11","15","3673.44"
13083,"2010-10-10","1","91.68"
13084,"2010-08-09","2","116.45"
13085,"2010-10-15","7","1187.08"
13086,"2010-11-22","1","439.33"
13087,"2009-12-13","1","313.64"
13088,"2010-10-18","1","236.11"
13089,"2010-12-06","132","55828.31"
13090,"2010-12-09","15","5081.89"
13091,"2009-12-10","4","-450.04"
13092,"2010-10-21","9","1547.50"
13093,"2010-12-01","76","46332.26"
13094,"2010-12-06","2","505.80"
13096,"2010-11-10","1","419.70"
13097,"2010-11-16","26","6968.41"
13100,"2010-03-25","1","-1598.67"
13101,"2010-07-29","3","594.21"
13102,"2010-12-09","16","5103.83"
13103,"2010-09-28","2","465.70"
13104,"2010-10-20","3","610.62"
13105,"2010-09-29","1","72.00"
13106,"2010-10-22","1","526.96"
13107,"2010-10-26","10","3585.55"
13108,"2010-12-02","2","748.46"
13109,"2010-06-08","2","340.74"
13110,"2010-09-28","6","1443.30"
13111,"2009-12-21","1","321.88"
13112,"2010-06-16","3","-5.44"
13113,"2010-12-08","22","6090.25"
13114,"2009-12-09","1","234.38"
13115,"2010-12-08","10","3168.82"
13117,"2010-12-09","13","1657.20"
13118,"2010-11-28","5","1209.10"
13119,"2010-02-09","1","134.90"
13123,"2010-08-24","2","506.75"
13124,"2010-11-19","1","916.12"
13125,"2010-07-04","1","158.57"
13126,"2010-12-08","11","1846.18"
13128,"2010-03-18","1","263.50"
13129,"2010-09-13","2","233.25"
13131,"2010-10-17","4","2240.47"
13133,"2010-09-06","1","90.65"
13134,"2010-11-02","2","681.65"
13135,"2010-08-05","1","275.45"
13136,"2010-12-09","14","3532.42"
13137,"2010-11-18","8","4062.29"
13138,"2010-12-02","3","492.10"
13139,"2010-09-28","1","3138.04"
13140,"2010-12-08","3","791.96"
13141,"2010-11-19","15","5150.83"
13143,"2010-05-06","2","399.20"
13144,"2010-10-04","1","24.40"
13145,"2010-12-02","4","805.00"
13148,"2010-11-15","19","4775.12"
13150,"2010-08-26","4","435.02"
13151,"2010-03-24","3","1261.32"
13152,"2010-10-18","9","2114.98"
13154,"2010-11-05","4","1609.29"
13155,"2010-12-06","3","778.42"
13156,"2010-11-19","3","1586.54"
13157,"2010-10-26","5","3946.14"
13158,"2010-11-16","1","307.12"
13161,"2010-07-27","1","366.13"
13162,"2010-11-24","14","7471.95"
13163,"2010-04-08","2","0.00"
13164,"2010-05-19","3","297.46"
13165,"2010-10-22","1","429.68"
13166,"2010-10-21","1","466.98"
13167,"2010-11-14","1","333.82"
13168,"2010-06-15","1","556.12"
13169,"2010-05-26","1","127.20"
13172,"2010-11-04","1","69.60"
13173,"2010-12-07","12","2266.85"
13174,"2010-12-05","10","6677.81"
13175,"2010-06-03","4","793.10"
13177,"2010-10-05","1","229.75"
13178,"2010-11-07","14","8272.42"
13179,"2010-03-31","1","572.31"
13180,"2010-04-11","1","86.10"
13181,"2010-11-23","1","359.69"
13183,"2010-11-10","9","3053.10"
13187,"2010-03-25","4","112.29"
13190,"2010-06-13","4","518.76"
13191,"2010-02-19","1","164.69"
13192,"2010-07-09","6","1632.59"
13194,"2010-10-14","1","412.08"
13195,"2010-10-21","1","172.38"
13196,"2010-09-22","4","1261.86"
13197,"2010-04-09","1","373.01"
13198,"2010-11-19","4","1528.19"
13199,"2010-12-08","31","6601.02"
13201,"2010-07-25","4","1240.61"
13202,"2010-11-26","8","1571.35"
13203,"2010-11-18","7","1761.09"
13204,"2009-12-08","1","966.66"
13205,"2010-09-22","1","2803.20"
13206,"2010-11-04","15","8280.13"
13207,"2010-09-14","2","285.60"
13208,"2010-09-16","3","764.60"
13209,"2010-07-13","5","2617.90"
13211,"2010-11-23","9","1509.45"
13213,"2010-11-26","8","2316.19"
13214,"2010-10-18","7","3264.23"
13215,"2010-11-02","1","81.60"
13217,"2010-02-22","1","132.50"
13219,"2010-03-31","1","76.23"
13220,"2010-05-13","1","516.80"
13222,"2010-05-11","1","88.50"
13223,"2010-10-12","4","805.92"
13225,"2010-10-14","9","9796.23"
13226,"2010-11-11","1","204.25"
13230,"2010-12-09","17","3553.81"
13231,"2010-06-11","1","-355.20"
13233,"2010-10-15","2","571.34"
13234,"2010-02-05","2","356.95"
13237,"2010-11-17","1","643.00"
13238,"2010-10-05","2","305.90"
13239,"2010-09-28","5","1250.28"
13240,"2010-12-09","6","997.52"
13241,"2010-10-24","1","115.58"
13242,"2010-09-14","4","429.00"
13243,"2010-09-16","4","677.97"
13245,"2010-10-03","1","558.72"
13246,"2010-11-11","7","1355.58"
13249,"2010-11-03","6","897.52"
13250,"2010-09-13","3","248.54"
13251,"2010-11-02","1","252.68"
13252,"2010-11-10","3","341.30"
13253,"2010-10-05","2","1920.71"
13254,"2010-11-28","1","51.41"
13255,"2010-12-01","2","504.95"
13257,"2010-10-08","3","117.95"
13258,"2010-11-25","2","336.60"
13259,"2010-11-07","8","1141.06"
13262,"2010-11-15","2","373.16"
13263,"2010-11-11","4","1250.62"
13264,"2010-09-23","1","722.56"
13266,"2010-11-09","11","2247.63"
13267,"2010-12-08","25","5107.77"
13269,"2010-12-05","14","3545.47"
13270,"2010-12-08","1","590.00"
13274,"2010-10-26","1","360.85"
13275,"2010-11-21","2","241.66"
13276,"2010-11-07","5","1327.63"
13277,"2010-11-24","3","264.90"
13278,"2010-11-05","4","885.47"
13280,"2010-11-25","5","1482.27"
13281,"2010-09-28","3","306.45"
13282,"2010-10-29","1","181.05"
13283,"2010-05-21","2","279.70"
13285,"2010-04-18","2","655.47"
13286,"2010-04-18","1","734.91"
13287,"2010-05-05","7","519.67"
13288,"2010-09-22","6","892.16"
13289,"2009-12-16","1","307.95"
13290,"2010-10-05","3","-208.63"
13291,"2010-10-21","10","2959.73"
13292,"2010-10-25","4","408.85"
13293,"2010-11-12","7","1180.34"
13294,"2010-03-03","1","815.79"
13295,"2010-12-02","8","860.07"
13296,"2010-10-12","5","705.11"
13297,"2010-11-19","4","2262.82"
13299,"2010-10-22","4","1030.80"
13300,"2010-11-16","3","901.92"
13302,"2010-07-01","1","95.45"
13303,"2010-11-04","1","61.72"
13304,"2010-09-17","6","820.37"
13305,"2010-12-02","7","1753.85"
13306,"2010-10-05","1","53.65"
13307,"2010-08-09","2","258.34"
13308,"2010-04-22","1","284.86"
13309,"2010-11-12","1","249.58"
13310,"2010-11-24","2","409.17"
13312,"2010-09-14","1","124.75"
13313,"2010-08-17","10","1867.95"
13315,"2010-01-19","1","310.26"
13316,"2010-11-12","7","7091.44"
13317,"2010-11-25","22","3928.46"
13319,"2010-12-09","45","11041.75"
13320,"2010-10-07","3","669.25"
13324,"2010-10-07","11","3348.57"
13326,"2010-10-03","1","281.76"
13327,"2010-12-09","15","6123.46"
13329,"2010-12-08","11","4236.62"
13330,"2010-09-10","3","1665.25"
13331,"2010-11-03","1","262.40"
13333,"2010-10-24","3","1015.74"
13334,"2010-06-21","3","2720.18"
13335,"2010-06-17","1","-955.06"
13337,"2010-07-09","2","1548.55"
13338,"2010-06-24","7","1791.80"
13340,"2010-10-18","5","11364.08"
13342,"2010-05-06","1","-14.10"
13346,"2010-09-03","6","299.40"
13353,"2010-11-16","1","-28.85"
13357,"2010-08-02","4","3228.41"
13359,"2010-11-11","2","570.70"
13360,"2010-10-07","7","1464.10"
13361,"2010-08-24","2","1450.50"
13362,"2010-11-26","5","2272.08"
13363,"2010-10-26","1","731.36"
13365,"2010-11-11","1","-26.90"
13367,"2010-10-04","1","510.20"
13368,"2010-10-21","3","462.70"
13369,"2010-12-09","1","308.28"
13370,"2010-12-08","2","721.32"
13371,"2010-07-29","4","2271.46"
13373,"2010-10-20","3","4274.94"
13374,"2010-10-21","2","422.80"
13375,"2010-09-21","1","1013.58"
13377,"2010-11-08","4","1495.43"
13378,"2010-10-13","1","-756.40"
13380,"2010-10-03","1","62.40"
13381,"2010-11-25","8","4558.21"
13382,"2010-10-07","4","1164.59"
13383,"2010-06-14","1","305.28"
13384,"2010-11-14","6","2512.81"
13386,"2010-10-21","2","835.46"
13387,"2010-10-18","1","189.44"
13388,"2010-04-15","1","508.55"
13392,"2010-01-31","1","91.14"
13393,"2010-05-05","6","1105.85"
13394,"2010-11-25","14","4011.08"
13395,"2010-11-04","2","872.51"
13397,"2010-09-28","7","1554.93"
13398,"2010-09-17","1","213.00"
13399,"2010-09-01","3","275.40"
13400,"2010-05-14","2","300.93"
13401,"2010-03-25","1","-1834.14"
13402,"2010-12-02","3","913.90"
13403,"2010-11-17","2","154.50"
13405,"2010-08-23","6","624.11"
13406,"2010-10-08","3","557.22"
13407,"2010-05-10","6","2111.89"
13408,"2010-12-03","57","23365.44"
13409,"2010-03-25","1","-525.65"
13410,"2010-11-11","5","1183.60"
13412,"2010-03-29","1","487.35"
13413,"2010-03-10","8","345.80"
13414,"2010-09-02","4","1091.74"
13415,"2010-08-24","5","681.92"
13416,"2009-12-03","1","228.30"
13417,"2010-06-10","5","953.06"
13418,"2010-12-02","16","6070.72"
13421,"2010-10-29","8","2239.84"
13423,"2010-10-07","1","217.03"
13424,"2010-09-21","2","557.92"
13425,"2010-07-19","5","1751.72"
13426,"2010-11-22","12","4526.06"
