"transection_cost","date","invoice_no","customer","no_of_products","weekend_orders","string_agg"
"584.50","2009-12-01","489546",14156,"33",0,"Tuesday"
"641.45","2009-12-01","489547",13599,"22",0,"Tuesday"
"390.86","2009-12-01","489548",-1,"55",0,"Tuesday"
"482.30","2009-12-01","489550",14156,"23",0,"Tuesday"
"278.61","2009-12-01","489552",17063,"25",0,"Tuesday"
"379.65","2009-12-01","489556",15719,"59",0,"Tuesday"
"603.94","2009-12-01","489557",12490,"21",0,"Tuesday"
"291.58","2009-12-01","489558",15793,"4",0,"Tuesday"
"128.60","2009-12-01","489559",17056,"8",0,"Tuesday"
"859.10","2009-12-01","489560",13526,"30",0,"Tuesday"
"246.86","2009-12-01","489561",14654,"27",0,"Tuesday"
"229.60","2009-12-01","489562",17998,"39",0,"Tuesday"
"322.90","2009-12-01","489564",13526,"14",0,"Tuesday"
"218.55","2009-12-01","489566",17742,"8",0,"Tuesday"
"307.80","2009-12-01","489567",15326,"20",0,"Tuesday"
"282.28","2009-12-01","489569",14478,"18",0,"Tuesday"
"156.71","2009-12-01","489571",15967,"30",0,"Tuesday"
"507.49","2009-12-01","489572",17611,"83",0,"Tuesday"
"580.02","2009-12-01","489573",15051,"32",0,"Tuesday"
"551.33","2009-12-01","489574",13097,"65",0,"Tuesday"
"367.28","2009-12-01","489575",13590,"22",0,"Tuesday"
"319.66","2009-12-01","489576",15984,"17",0,"Tuesday"
"219.82","2009-12-01","489579",16887,"34",0,"Tuesday"
"261.00","2009-12-01","489580",12921,"8",0,"Tuesday"
"124.83","2009-12-01","489581",15945,"10",0,"Tuesday"
"293.95","2009-12-01","489582",14543,"9",0,"Tuesday"
"21.95","2009-12-01","489584",18037,"1",0,"Tuesday"
"105.85","2009-12-01","489585",15662,"4",0,"Tuesday"
"263.42","2009-12-01","489586",15380,"6",0,"Tuesday"
"362.78","2009-12-01","489590",13110,"27",0,"Tuesday"
"423.87","2009-12-01","489593",12836,"30",0,"Tuesday"
"322.33","2009-12-01","489594",15005,"51",0,"Tuesday"
"17.00","2009-12-01","489596",-1,"1",0,"Tuesday"
"5097.82","2009-12-01","489597",-1,"502",0,"Tuesday"
"822.37","2009-12-01","489598",16620,"50",0,"Tuesday"
"2454.68","2009-12-01","489599",12758,"79",0,"Tuesday"
"420.29","2009-12-01","489600",-1,"31",0,"Tuesday"
"337.20","2009-12-01","489601",-1,"26",0,"Tuesday"
"440.07","2009-12-01","489602",-1,"33",0,"Tuesday"
"311.55","2009-12-01","489603",-1,"21",0,"Tuesday"
"383.87","2009-12-01","489604",-1,"25",0,"Tuesday"
"2.10","2009-12-01","489606",17961,"1",0,"Tuesday"
"446.98","2009-12-01","489607",-1,"39",0,"Tuesday"
"9.75","2009-12-01","489608",-1,"1",0,"Tuesday"
"553.78","2009-12-01","489609",-1,"37",0,"Tuesday"
"2.95","2009-12-01","489611",15601,"1",0,"Tuesday"
"629.78","2009-12-01","489612",-1,"41",0,"Tuesday"
"12.75","2009-12-01","489613",13585,"1",0,"Tuesday"
"408.85","2009-12-01","489614",-1,"26",0,"Tuesday"
"499.36","2009-12-01","489615",-1,"22",0,"Tuesday"
"409.27","2009-12-01","489616",-1,"23",0,"Tuesday"
"198.00","2009-12-01","489617",13442,"16",0,"Tuesday"
"6.35","2009-12-01","489618",-1,"1",0,"Tuesday"
"19.50","2009-12-01","489619",-1,"5",0,"Tuesday"
"17.40","2009-12-01","489634",13381,"1",0,"Tuesday"
"352.85","2009-12-01","489635",16763,"21",0,"Tuesday"
"535.90","2009-12-01","489637",17243,"20",0,"Tuesday"
"7.50","2009-12-01","489638",-1,"1",0,"Tuesday"
"31.20","2009-12-01","489639",14865,"1",0,"Tuesday"
"329.91","2009-12-01","489640",17345,"27",0,"Tuesday"
"622.10","2009-12-01","489641",13819,"30",0,"Tuesday"
"12.85","2009-12-01","489642",-1,"3",0,"Tuesday"
"896.54","2009-12-01","489644",15808,"26",0,"Tuesday"
"261.74","2009-12-01","489645",17191,"32",0,"Tuesday"
"173.10","2009-12-01","489650",13748,"7",0,"Tuesday"
"294.14","2009-12-01","489652",15265,"17",0,"Tuesday"
"60.78","2009-12-01","489653",-1,"13",0,"Tuesday"
"222.12","2009-12-01","489654",15750,"30",0,"Tuesday"
"0.00","2009-12-01","489655",-1,"1",0,"Tuesday"
"1237.30","2009-12-01","489656",17428,"22",0,"Tuesday"
"55.20","2009-12-01","489657",17428,"3",0,"Tuesday"
"828.09","2009-12-01","489658",15485,"21",0,"Tuesday"
"0.00","2009-12-01","489659",-1,"1",0,"Tuesday"
"0.00","2009-12-01","489660",-1,"1",0,"Tuesday"
"23.48","2009-12-01","489661",17246,"4",0,"Tuesday"
"73.75","2009-12-01","489662",15485,"1",0,"Tuesday"
"0.00","2009-12-01","489663",-1,"1",0,"Tuesday"
"374.43","2009-12-01","489664",14061,"11",0,"Tuesday"
"252.30","2009-12-01","489665",14108,"10",0,"Tuesday"
"263.09","2009-12-01","489666",13648,"15",0,"Tuesday"
"538.46","2009-12-01","489667",16563,"10",0,"Tuesday"
"378.12","2009-12-01","489668",16701,"8",0,"Tuesday"
"397.20","2009-12-02","489669",12842,"3",0,"Wednesday"
"114.60","2009-12-02","489670",14302,"2",0,"Wednesday"
"740.30","2009-12-02","489671",14135,"8",0,"Wednesday"
"772.65","2009-12-02","489672",14831,"32",0,"Wednesday"
"61.10","2009-12-02","489673",14831,"4",0,"Wednesday"
"261.30","2009-12-02","489674",15602,"17",0,"Wednesday"
"4939.22","2009-12-02","489675",13777,"22",0,"Wednesday"
"1210.80","2009-12-02","489676",13777,"5",0,"Wednesday"
"192.00","2009-12-02","489677",14000,"2",0,"Wednesday"
"189.30","2009-12-02","489678",16823,"20",0,"Wednesday"
"795.98","2009-12-02","489679",16163,"42",0,"Wednesday"
"45.00","2009-12-02","489680",17193,"1",0,"Wednesday"
"89.59","2009-12-02","489681",17998,"11",0,"Wednesday"
"125.73","2009-12-02","489682",15759,"4",0,"Wednesday"
"1317.97","2009-12-02","489683",16131,"46",0,"Wednesday"
"266.60","2009-12-02","489684",14560,"9",0,"Wednesday"
"221.53","2009-12-02","489687",17087,"12",0,"Wednesday"
"299.70","2009-12-02","489688",14894,"3",0,"Wednesday"
"306.95","2009-12-02","489695",16202,"15",0,"Wednesday"
"401.70","2009-12-02","489699",16700,"25",0,"Wednesday"
"3108.64","2009-12-02","489702",17511,"30",0,"Wednesday"
"17.00","2009-12-02","489705",16700,"1",0,"Wednesday"
"2052.12","2009-12-02","489723",14299,"26",0,"Wednesday"
"216.00","2009-12-02","489725",17949,"1",0,"Wednesday"
"750.00","2009-12-02","489726",17949,"1",0,"Wednesday"
"900.00","2009-12-02","489727",17949,"1",0,"Wednesday"
"180.45","2009-12-02","489728",14799,"10",0,"Wednesday"
"168.00","2009-12-02","489733",15311,"2",0,"Wednesday"
"538.77","2009-12-02","489743",16550,"33",0,"Wednesday"
"754.20","2009-12-02","489748",12980,"3",0,"Wednesday"
"223.10","2009-12-02","489764",14425,"14",0,"Wednesday"
"285.59","2009-12-02","489765",15353,"41",0,"Wednesday"
"130.18","2009-12-02","489766",17818,"46",0,"Wednesday"
"159.98","2009-12-02","489780",13654,"8",0,"Wednesday"
"0.00","2009-12-02","489781",-1,"1",0,"Wednesday"
"230.46","2009-12-02","489782",17189,"22",0,"Wednesday"
"162.04","2009-12-02","489783",13269,"7",0,"Wednesday"
"40.80","2009-12-02","489784",13269,"4",0,"Wednesday"
"333.67","2009-12-02","489785",14653,"20",0,"Wednesday"
"216.86","2009-12-02","489786",17019,"44",0,"Wednesday"
"319.54","2009-12-02","489787",15542,"74",0,"Wednesday"
"119.16","2009-12-02","489788",13564,"17",0,"Wednesday"
"80.40","2009-12-02","489789",15833,"5",0,"Wednesday"
"131.12","2009-12-02","489790",16467,"2",0,"Wednesday"
"221.19","2009-12-02","489791",15542,"65",0,"Wednesday"
"923.79","2009-12-02","489792",14527,"58",0,"Wednesday"
"260.36","2009-12-02","489793",17476,"16",0,"Wednesday"
"58.20","2009-12-02","489794",15287,"4",0,"Wednesday"
"935.01","2009-12-02","489795",14440,"13",0,"Wednesday"
"311.50","2009-12-02","489796",15680,"19",0,"Wednesday"
"200.63","2009-12-02","489797",15581,"26",0,"Wednesday"
"311.69","2009-12-02","489798",13740,"20",0,"Wednesday"
"408.07","2009-12-02","489800",17768,"32",0,"Wednesday"
"128.48","2009-12-02","489801",12948,"6",0,"Wednesday"
"174.52","2009-12-02","489802",15581,"45",0,"Wednesday"
"251.17","2009-12-02","489804",14667,"16",0,"Wednesday"
"454.35","2009-12-02","489805",17377,"46",0,"Wednesday"
"0.00","2009-12-02","489806",-1,"1",0,"Wednesday"
"180.13","2009-12-02","489807",15581,"28",0,"Wednesday"
"109.84","2009-12-02","489808",14467,"17",0,"Wednesday"
"112.50","2009-12-02","489809",13457,"6",0,"Wednesday"
"493.25","2009-12-02","489810",18108,"26",0,"Wednesday"
"634.29","2009-12-02","489811",16210,"9",0,"Wednesday"
"597.69","2009-12-02","489812",17377,"25",0,"Wednesday"
"824.18","2009-12-02","489814",14669,"89",0,"Wednesday"
"132.55","2009-12-02","489815",17909,"9",0,"Wednesday"
"284.55","2009-12-02","489816",16086,"27",0,"Wednesday"
"340.20","2009-12-02","489817",16711,"3",0,"Wednesday"
"294.30","2009-12-02","489818",16233,"14",0,"Wednesday"
"618.43","2009-12-02","489819",14739,"13",0,"Wednesday"
"0.00","2009-12-02","489820",-1,"1",0,"Wednesday"
"0.00","2009-12-02","489821",-1,"1",0,"Wednesday"
"371.27","2009-12-02","489822",14204,"54",0,"Wednesday"
"87.30","2009-12-02","489823",17606,"6",0,"Wednesday"
"176.88","2009-12-02","489824",16797,"44",0,"Wednesday"
"174.10","2009-12-02","489825",16126,"11",0,"Wednesday"
"85.95","2009-12-02","489826",17867,"10",0,"Wednesday"
"445.70","2009-12-02","489827",17412,"23",0,"Wednesday"
"472.47","2009-12-02","489829",16525,"8",0,"Wednesday"
"637.04","2009-12-02","489830",13623,"69",0,"Wednesday"
"1008.00","2009-12-02","489831",12435,"1",0,"Wednesday"
"316.22","2009-12-02","489832",14549,"55",0,"Wednesday"
"150.68","2009-12-02","489833",14980,"24",0,"Wednesday"
"214.80","2009-12-02","489834",14106,"1",0,"Wednesday"
"714.00","2009-12-02","489835",15061,"2",0,"Wednesday"
"514.97","2009-12-02","489837",14396,"47",0,"Wednesday"
"89.70","2009-12-02","489840",14122,"1",0,"Wednesday"
"157.91","2009-12-02","489855",16987,"29",0,"Wednesday"
"4463.74","2009-12-02","489856",-1,"426",0,"Wednesday"
"5741.96","2009-12-02","489857",-1,"516",0,"Wednesday"
"46.07","2009-12-02","489861",-1,"7",0,"Wednesday"
"734.70","2009-12-02","489862",17809,"4",0,"Wednesday"
"66.82","2009-12-02","489863",15917,"18",0,"Wednesday"
"206.85","2009-12-02","489864",14987,"3",0,"Wednesday"
"234.87","2009-12-02","489865",14080,"18",0,"Wednesday"
"1003.83","2009-12-02","489866",16200,"120",0,"Wednesday"
"118.95","2009-12-02","489867",-1,"12",0,"Wednesday"
"675.00","2009-12-02","489868",15794,"14",0,"Wednesday"
"39.98","2009-12-02","489869",16200,"17",0,"Wednesday"
"162.10","2009-12-02","489870",15523,"3",0,"Wednesday"
"735.70","2009-12-02","489871",15523,"5",0,"Wednesday"
"632.90","2009-12-02","489872",15615,"22",0,"Wednesday"
"10.20","2009-12-02","489873",15615,"1",0,"Wednesday"
"176.60","2009-12-02","489874",18001,"12",0,"Wednesday"
"530.76","2009-12-02","489875",17841,"95",0,"Wednesday"
"39.85","2009-12-02","489876",15917,"18",0,"Wednesday"
"368.10","2009-12-02","489877",13089,"4",0,"Wednesday"
"143.11","2009-12-02","489878",15989,"38",0,"Wednesday"
"163.47","2009-12-02","489879",17660,"44",0,"Wednesday"
"380.28","2009-12-02","489880",13313,"22",0,"Wednesday"
"0.00","2009-12-02","489882",-1,"1",0,"Wednesday"
"578.28","2009-12-02","489883",12437,"27",0,"Wednesday"
"3.61","2009-12-02","489884",13313,"1",0,"Wednesday"
"597.40","2009-12-02","489888",14841,"26",0,"Wednesday"
"4734.24","2009-12-02","489889",14646,"20",0,"Wednesday"
"976.80","2009-12-02","489890",14646,"3",0,"Wednesday"
"181.08","2009-12-02","489891",15482,"6",0,"Wednesday"
"39.80","2009-12-02","489892",-1,"2",0,"Wednesday"
"300.10","2009-12-02","489893",16156,"9",0,"Wednesday"
"520.20","2009-12-02","489894",17716,"27",0,"Wednesday"
"371.82","2009-12-03","489895",12779,"22",0,"Thursday"
"337.93","2009-12-03","489896",13611,"20",0,"Thursday"
"260.44","2009-12-03","489897",15255,"13",0,"Thursday"
"0.00","2009-12-03","489898",-1,"1",0,"Thursday"
"0.00","2009-12-03","489899",-1,"1",0,"Thursday"
"287.37","2009-12-03","489900",14771,"19",0,"Thursday"
"0.00","2009-12-03","489901",-1,"1",0,"Thursday"
"119.10","2009-12-03","489902",14838,"4",0,"Thursday"
"0.00","2009-12-03","489903",-1,"1",0,"Thursday"
"203.78","2009-12-03","489904",13979,"13",0,"Thursday"
"478.70","2009-12-03","489905",13800,"19",0,"Thursday"
"120.00","2009-12-03","489906",14483,"4",0,"Thursday"
"202.06","2009-12-03","489907",14915,"11",0,"Thursday"
"107.33","2009-12-03","489908",16301,"6",0,"Thursday"
"642.20","2009-12-03","489909",13753,"16",0,"Thursday"
"144.00","2009-12-03","489910",15482,"1",0,"Thursday"
"1146.10","2009-12-03","489912",13931,"58",0,"Thursday"
"69.60","2009-12-03","489913",13931,"3",0,"Thursday"
"993.00","2009-12-03","489914",12921,"29",0,"Thursday"
"54.60","2009-12-03","489915",17035,"2",0,"Thursday"
"336.00","2009-12-03","489916",15194,"9",0,"Thursday"
"82.60","2009-12-03","489932",14347,"6",0,"Thursday"
"181.65","2009-12-03","489935",12934,"2",0,"Thursday"
"430.90","2009-12-03","489994",15291,"4",0,"Thursday"
"320.40","2009-12-03","489996",17209,"5",0,"Thursday"
"321.65","2009-12-03","489998",15658,"18",0,"Thursday"
"154.20","2009-12-03","489999",17314,"7",0,"Thursday"
"143.06","2009-12-03","490000",17155,"12",0,"Thursday"
"169.50","2009-12-03","490001",15965,"2",0,"Thursday"
"114.55","2009-12-03","490002",17322,"28",0,"Thursday"
"317.55","2009-12-03","490003",16159,"12",0,"Thursday"
"912.56","2009-12-03","490004",14051,"9",0,"Thursday"
"556.75","2009-12-03","490005",13993,"25",0,"Thursday"
"344.40","2009-12-03","490006",17411,"19",0,"Thursday"
"0.00","2009-12-03","490007",-1,"1",0,"Thursday"
"503.93","2009-12-03","490008",15768,"64",0,"Thursday"
"285.09","2009-12-03","490009",12835,"31",0,"Thursday"
"1008.00","2009-12-03","490010",15061,"1",0,"Thursday"
"221.69","2009-12-03","490011",16918,"43",0,"Thursday"
"763.35","2009-12-03","490012",15179,"27",0,"Thursday"
"500.55","2009-12-03","490013",17069,"33",0,"Thursday"
"744.21","2009-12-03","490014",15466,"93",0,"Thursday"
"0.00","2009-12-03","490015",-1,"1",0,"Thursday"
"0.00","2009-12-03","490016",-1,"1",0,"Thursday"
"393.65","2009-12-03","490017",14159,"99",0,"Thursday"
"4380.00","2009-12-03","490018",17940,"4",0,"Thursday"
"308.60","2009-12-03","490019",17581,"15",0,"Thursday"
"37.80","2009-12-03","490020",17581,"3",0,"Thursday"
"10.20","2009-12-03","490021",17581,"1",0,"Thursday"
"45.60","2009-12-03","490022",17581,"3",0,"Thursday"
"189.15","2009-12-03","490023",16168,"4",0,"Thursday"
"215.00","2009-12-03","490024",14606,"49",0,"Thursday"
"58.20","2009-12-03","490030",-1,"2",0,"Thursday"
"69.82","2009-12-03","490034",17287,"11",0,"Thursday"
"180.39","2009-12-03","490045",17287,"22",0,"Thursday"
"228.30","2009-12-03","490046",13416,"7",0,"Thursday"
"263.85","2009-12-03","490047",17913,"28",0,"Thursday"
"1146.71","2009-12-03","490048",16779,"35",0,"Thursday"
"102.00","2009-12-03","490049",15794,"1",0,"Thursday"
"13.50","2009-12-03","490050",17913,"1",0,"Thursday"
"831.00","2009-12-03","490052",13895,"42",0,"Thursday"
"119.54","2009-12-03","490053",14057,"17",0,"Thursday"
"277.50","2009-12-03","490054",17017,"7",0,"Thursday"
"0.00","2009-12-03","490055",-1,"1",0,"Thursday"
"61.12","2009-12-03","490056",13208,"16",0,"Thursday"
"360.52","2009-12-03","490057",17465,"20",0,"Thursday"
"47.85","2009-12-03","490058",17465,"2",0,"Thursday"
"14475.00","2009-12-03","490059",18102,"9",0,"Thursday"
"314.22","2009-12-03","490060",13468,"17",0,"Thursday"
"4000.00","2009-12-03","490061",18102,"4",0,"Thursday"
"165.30","2009-12-03","490062",13485,"8",0,"Thursday"
"210.39","2009-12-03","490063",17271,"52",0,"Thursday"
"355.59","2009-12-03","490064",16139,"19",0,"Thursday"
"1260.00","2009-12-03","490065",15061,"1",0,"Thursday"
"372.20","2009-12-03","490066",15953,"7",0,"Thursday"
"952.61","2009-12-03","490067",15856,"24",0,"Thursday"
"284.30","2009-12-03","490068",13085,"9",0,"Thursday"
"161.40","2009-12-03","490069",13085,"5",0,"Thursday"
"236.25","2009-12-03","490070",14967,"5",0,"Thursday"
"294.85","2009-12-03","490071",16497,"19",0,"Thursday"
"194.65","2009-12-03","490072",17764,"30",0,"Thursday"
"258.10","2009-12-03","490073",14905,"13",0,"Thursday"
"6500.63","2009-12-03","490074",-1,"580",0,"Thursday"
"381.00","2009-12-03","490075",18229,"4",0,"Thursday"
"115.51","2009-12-03","490077",17293,"6",0,"Thursday"
"584.35","2009-12-03","490078",17853,"29",0,"Thursday"
"160.35","2009-12-03","490079",15550,"10",0,"Thursday"
"311.70","2009-12-03","490080",13531,"15",0,"Thursday"
"723.09","2009-12-03","490081",13786,"20",0,"Thursday"
"337.90","2009-12-03","490082",14952,"7",0,"Thursday"
"2506.14","2009-12-03","490083",14031,"61",0,"Thursday"
"0.00","2009-12-03","490084",-1,"1",0,"Thursday"
"170.06","2009-12-03","490085",12937,"15",0,"Thursday"
"799.20","2009-12-03","490086",17949,"1",0,"Thursday"
"898.18","2009-12-03","490087",15601,"51",0,"Thursday"
"17.00","2009-12-03","490088",15581,"2",0,"Thursday"
"466.20","2009-12-03","490089",17949,"1",0,"Thursday"
"45.55","2009-12-03","490090",15581,"17",0,"Thursday"
"636.00","2009-12-03","490091",17949,"1",0,"Thursday"
"510.87","2009-12-03","490092",16612,"23",0,"Thursday"
"1794.70","2009-12-03","490093",12949,"64",0,"Thursday"
"851.76","2009-12-03","490094",17949,"1",0,"Thursday"
"186.36","2009-12-03","490095",14958,"12",0,"Thursday"
"279.42","2009-12-03","490097",17329,"36",0,"Thursday"
"1225.98","2009-12-03","490099",16736,"74",0,"Thursday"
"869.93","2009-12-03","490100",13001,"83",0,"Thursday"
"338.50","2009-12-03","490101",14644,"11",0,"Thursday"
"314.37","2009-12-03","490106",14898,"20",0,"Thursday"
"110.70","2009-12-03","490107",14662,"8",0,"Thursday"
"239.68","2009-12-03","490108",17414,"5",0,"Thursday"
"415.00","2009-12-03","490109",14755,"20",0,"Thursday"
"30.15","2009-12-03","490110",14755,"2",0,"Thursday"
"321.21","2009-12-03","490111",17576,"31",0,"Thursday"
"313.19","2009-12-03","490112",13037,"20",0,"Thursday"
"39.20","2009-12-03","490113",14710,"11",0,"Thursday"
"257.62","2009-12-03","490114",18168,"22",0,"Thursday"
"342.60","2009-12-03","490115",17679,"12",0,"Thursday"
"122.40","2009-12-03","490116",17679,"4",0,"Thursday"
"317.04","2009-12-03","490118",17851,"47",0,"Thursday"
"108.75","2009-12-03","490119",12931,"1",0,"Thursday"
"112.03","2009-12-03","490121",14750,"32",0,"Thursday"
"0.00","2009-12-03","490123",-1,"1",0,"Thursday"
"319.87","2009-12-03","490124",16791,"44",0,"Thursday"
"297.05","2009-12-03","490125",16558,"9",0,"Thursday"
"569.18","2009-12-03","490127",14156,"33",0,"Thursday"
"241.80","2009-12-03","490128",15884,"14",0,"Thursday"
"0.00","2009-12-03","490130",-1,"1",0,"Thursday"
"197.30","2009-12-03","490132",17343,"12",0,"Thursday"
"151.65","2009-12-03","490134",17372,"25",0,"Thursday"
"387.87","2009-12-03","490135",16003,"18",0,"Thursday"
"174.85","2009-12-03","490136",17432,"41",0,"Thursday"
"160.69","2009-12-03","490137",14713,"21",0,"Thursday"
"339.78","2009-12-03","490138",16722,"14",0,"Thursday"
"210.55","2009-12-03","490139",12577,"13",0,"Thursday"
"407.22","2009-12-03","490140",12872,"43",0,"Thursday"
"308.75","2009-12-04","490141",15755,"18",0,"Friday"
"1261.00","2009-12-04","490142",14258,"14",0,"Friday"
"1610.52","2009-12-04","490143",14286,"76",0,"Friday"
"337.10","2009-12-04","490144",13154,"18",0,"Friday"
"989.18","2009-12-04","490145",14564,"39",0,"Friday"
"0.00","2009-12-04","490146",-1,"1",0,"Friday"
"510.64","2009-12-04","490147",13408,"8",0,"Friday"
"6529.11","2009-12-04","490149",-1,"559",0,"Friday"
"0.00","2009-12-04","490150",-1,"1",0,"Friday"
"160.39","2009-12-04","490151",16645,"14",0,"Friday"
"682.65","2009-12-04","490152",12714,"29",0,"Friday"
"290.48","2009-12-04","490154",16335,"49",0,"Friday"
"455.36","2009-12-04","490156",13093,"6",0,"Friday"
"138.00","2009-12-04","490157",16736,"1",0,"Friday"
"508.26","2009-12-04","490158",12759,"22",0,"Friday"
"19.50","2009-12-04","490159",13666,"2",0,"Friday"
"244.80","2009-12-04","490160",13777,"1",0,"Friday"
"825.94","2009-12-04","490161",17160,"59",0,"Friday"
"280.20","2009-12-04","490162",13946,"26",0,"Friday"
"141.63","2009-12-04","490163",14723,"17",0,"Friday"
"1058.40","2009-12-04","490164",14961,"41",0,"Friday"
"0.00","2009-12-04","490165",-1,"1",0,"Friday"
"371.85","2009-12-04","490166",14735,"12",0,"Friday"
"312.21","2009-12-04","490167",18061,"8",0,"Friday"
"29.28","2009-12-04","490171",15581,"5",0,"Friday"
"18.00","2009-12-04","490177",-1,"2",0,"Friday"
"3.75","2009-12-04","490186",-1,"1",0,"Friday"
"8.95","2009-12-04","490192",-1,"1",0,"Friday"
"410.00","2009-12-04","490202",15078,"20",0,"Friday"
"908.04","2009-12-04","490209",17389,"5",0,"Friday"
"108.95","2009-12-04","490212",16883,"12",0,"Friday"
"319.15","2009-12-04","490214",13175,"20",0,"Friday"
"67.68","2009-12-04","490218",17076,"3",0,"Friday"
"155.65","2009-12-04","490219",13948,"7",0,"Friday"
"1185.16","2009-12-04","490229",18223,"34",0,"Friday"
"351.30","2009-12-04","490247",16192,"11",0,"Friday"
"20.40","2009-12-04","490258",15999,"1",0,"Friday"
"231.20","2009-12-04","490266",15109,"8",0,"Friday"
"521.38","2009-12-04","490272",14680,"59",0,"Friday"
"1077.60","2009-12-04","490277",18092,"10",0,"Friday"
"317.83","2009-12-04","490279",16891,"83",0,"Friday"
"311.20","2009-12-04","490281",13481,"16",0,"Friday"
"107.95","2009-12-04","490282",13807,"7",0,"Friday"
"439.46","2009-12-04","490284",14979,"53",0,"Friday"
"373.74","2009-12-04","490285",16656,"7",0,"Friday"
"762.10","2009-12-04","490286",14527,"53",0,"Friday"
"367.10","2009-12-04","490287",16746,"14",0,"Friday"
"332.16","2009-12-04","490288",17157,"3",0,"Friday"
"273.75","2009-12-04","490289",15309,"20",0,"Friday"
"164.03","2009-12-04","490290",16325,"10",0,"Friday"
"424.03","2009-12-04","490291",16541,"38",0,"Friday"
"460.55","2009-12-04","490292",16723,"62",0,"Friday"
"137.40","2009-12-04","490293",16699,"14",0,"Friday"
"378.96","2009-12-04","490294",16710,"61",0,"Friday"
"435.88","2009-12-04","490295",12510,"17",0,"Friday"
"694.20","2009-12-04","490297",13162,"14",0,"Friday"
"1523.20","2009-12-04","490298",15382,"40",0,"Friday"
"621.22","2009-12-04","490299",13680,"44",0,"Friday"
"260.64","2009-12-04","490300",12970,"95",0,"Friday"
"345.27","2009-12-04","490301",15311,"9",0,"Friday"
"303.62","2009-12-04","490302",17841,"69",0,"Friday"
"106.25","2009-12-04","490303",17935,"7",0,"Friday"
"843.01","2009-12-04","490304",17593,"46",0,"Friday"
"726.57","2009-12-04","490305",17243,"33",0,"Friday"
"194.53","2009-12-04","490308",12835,"16",0,"Friday"
"231.90","2009-12-04","490310",17151,"4",0,"Friday"
"307.65","2009-12-04","490311",16451,"22",0,"Friday"
"326.13","2009-12-04","490312",17961,"61",0,"Friday"
"137.95","2009-12-04","490313",17127,"6",0,"Friday"
"867.89","2009-12-04","490320",13694,"9",0,"Friday"
"236.69","2009-12-04","490323",14087,"65",0,"Friday"
"672.00","2009-12-04","490324",13694,"2",0,"Friday"
"149.10","2009-12-04","490326",13733,"10",0,"Friday"
"990.00","2009-12-04","490327",13694,"2",0,"Friday"
"298.99","2009-12-04","490331",18181,"59",0,"Friday"
